Results Summary

Response,Count
just right,15
a little too fast,2
a little too slow,2
Total,19


Individual Results

Response,Created At
a little too slow,2019-02-01 11:48:51
a little too slow,2019-02-01 11:48:41
just right,2019-02-01 11:48:54
just right,2019-02-01 11:48:53
just right,2019-02-01 11:48:49
just right,2019-02-01 11:48:48
just right,2019-02-01 11:48:47
just right,2019-02-01 11:48:46
just right,2019-02-01 11:48:46
just right,2019-02-01 11:48:44
just right,2019-02-01 11:48:43
just right,2019-02-01 11:48:42
just right,2019-02-01 11:48:39
just right,2019-02-01 11:48:38
just right,2019-02-01 11:48:37
just right,2019-02-01 11:48:35
just right,2019-02-01 11:48:33
a little too fast,2019-02-01 11:48:53
a little too fast,2019-02-01 11:48:40
