Response,Created At
Great to hear about applications of what we've been talking about and wonderful integration of class topics into the presentation.,2019-03-13 11:43:56
It's a great intro on how imaging analysis is conducted,2019-03-13 11:43:56
"Thanks for your talk! I thought you were very clear and easy to understand. Although I do not have a background in this area, I was able to follow the topics and content you presented.",2019-03-13 11:43:47
Great! Thanks for inviting him. It was nice to see how the stuff we learned applies to neuroimaging data,2019-03-13 11:43:44
"Very well laid out. Appreciated how clear everything was. Cool to see these models in the real world. Could be neat to have mini discussions about it, like a pair and share. But overall, great class!!",2019-03-13 11:43:30
Thank you for an awesome presentation! I was particularly impressed by the animations and transitions! #inspiration,2019-03-13 11:43:22
it was really great seeing how the stuff we've talked about in class applies to real data in psychology!,2019-03-13 11:43:19
