Response,Created At
This was a very interesting class. I think I understood the core ideas. I will definitely check the RMarkdown document with the code.,2020-03-04 14:50:41
It was interesting. This was my first real introduction into practical examples of Bayesian analysis. Helpful.,2020-03-04 14:50:37
I found this lecture to be quite clear and helpful. The visualizations were especially helpful for solidifying the quite abstract concepts covered.,2020-03-04 14:50:29
I think the session was too ambitious. Maybe the class in general. We try to cover too much material in little time. This class I couldn't follow anything.,2020-03-04 14:50:29
I still don't think I understand how you decide how many chains to use.,2020-03-04 14:50:16
"It was great that we finished in time and went over all material that was to be covered. The explanations were clear, thank you!",2020-03-04 14:50:03
