What did you like about today's class? What could be improved next time?
Response
"I appreciate the enthusiasm! The topics are very challenging, so it would be nice if you could be a bit more precise. Thanks!!"
Would be great if we could include the interpretation of each parameters of the R results all in a separate document throughout the whole quarter
"It was very confusing,  but the professor makes it very enjoyable"
I like the way you say zero
