What did you like about today's class? What could be improved next time?
Response
"Showing the relation between graph, formula, and R was very helpful"
It's really helpful when you show the output from tidy() and anova() and put a red square around the key parameters.
"Relation between RSS, Residual Standard Error, Multiple R-Squared, Adjusted variants?"
"I enjoyed the mini history lesson about how we got from t-test to generalized SEM, etc. Stats is cool and you all make it fun to learn :)"
