Response,Created At
The mixed model homework questions were too easy. It would be great to have more practice for the Bayesian portion of the homework.,2019-03-04 11:52:27
"Cool hearing about your work and the interactive part was helpful. Still need a little more scaffolding on how it relates to Bayesian, though.",2019-03-04 11:52:00
Thank you for sharing your research!,2019-03-04 11:51:39
