Results Summary

Response,Count
just right,15
a little too fast,3
a little too slow,1
Total,19


Individual Results

Response,Created At
a little too slow,2019-02-25 11:50:25
just right,2019-02-25 11:50:24
just right,2019-02-25 11:50:20
just right,2019-02-25 11:50:17
just right,2019-02-25 11:50:17
just right,2019-02-25 11:50:16
just right,2019-02-25 11:50:12
just right,2019-02-25 11:50:10
just right,2019-02-25 11:50:10
just right,2019-02-25 11:50:09
just right,2019-02-25 11:50:07
just right,2019-02-25 11:50:07
just right,2019-02-25 11:50:02
just right,2019-02-25 11:50:01
just right,2019-02-25 11:50:00
just right,2019-02-25 11:49:59
a little too fast,2019-02-25 11:50:23
a little too fast,2019-02-25 11:50:17
a little too fast,2019-02-25 11:50:06
