participant,trial,accuracy,rt
99,2,0,1485
99,3,1,1309
99,4,0,1307
99,5,1,1165
99,6,1,1404
99,7,1,1586
99,8,1,841
99,9,1,1111
99,10,1,869
99,11,1,781
99,12,1,1249
99,13,1,677
99,14,1,1078
99,15,1,749
100,0,0,6883
100,1,1,9793
100,2,1,3885
100,3,1,2212
100,4,0,2813
100,5,0,12640
100,6,1,19920
100,7,1,3186
100,8,1,1763
100,9,1,1761
100,10,1,3868
100,11,1,4715
100,12,1,2318
100,13,1,1933
100,14,1,1738
100,15,1,1819
101,0,0,4035
101,1,0,1774
101,2,1,2029
101,3,1,2263
101,4,1,2210
101,5,1,1860
101,6,1,2600
101,7,1,1058
101,8,1,1742
101,9,1,1971
101,10,1,1298
101,11,1,1334
101,12,1,2891
101,13,1,2628
101,14,1,1570
101,15,1,1194
102,0,0,2817
102,1,1,2842
102,2,0,1949
102,3,0,1107
102,4,1,2285
102,5,0,1256
102,6,1,1435
102,7,1,2145
102,8,1,1779
102,9,1,1701
102,10,1,1013
102,11,1,1216
102,12,1,990
102,13,1,959
102,14,1,897
102,15,1,1280
103,0,1,18119
103,1,1,1295
103,2,0,1273
103,3,1,1302
103,4,1,1807
103,5,1,1631
103,6,1,1193
103,7,0,1459
103,8,1,2111
103,9,1,1239
103,10,1,1490
103,11,1,1449
103,12,1,1192
103,13,1,1173
103,14,1,1930
103,15,1,1694
104,0,1,3159
104,1,1,1735
104,2,0,1522
104,3,1,2230
104,4,1,1530
104,5,1,1300
104,6,1,1077
104,7,1,1012
104,8,1,1201
104,9,1,864
104,10,1,954
104,11,1,1053
104,12,1,937
104,13,1,1045
104,14,1,1291
104,15,1,781
105,0,0,3494
105,1,0,1342
105,2,1,2008
105,3,1,1326
105,4,1,1244
105,5,1,1101
105,6,1,1213
105,7,1,1605
105,8,1,1124
105,9,1,929
105,10,1,951
105,11,1,899
105,12,1,959
105,13,1,1071
105,14,1,884
105,15,1,875
106,0,1,5128
106,1,1,2126
106,2,1,1186
106,3,0,1344
106,4,1,1176
106,5,1,1560
106,6,0,2936
106,7,1,896
106,8,0,1118
106,9,1,1799
106,10,0,1670
106,11,0,769
106,12,0,850
106,13,1,662
106,14,0,979
106,15,0,544
107,0,1,6439
107,1,1,2027
107,2,0,1424
107,3,0,3672
107,4,0,2468
107,5,0,939
107,6,1,1065
107,7,1,896
107,8,1,1238
107,9,1,1026
107,10,1,1032
107,11,0,958
107,12,0,848
107,13,1,2312
107,14,1,891
107,15,1,1048
108,0,1,3920
108,1,0,2558
108,2,1,2169
108,3,1,1393
108,4,1,1280
108,5,1,1592
108,6,1,1350
108,7,0,2234
108,8,1,1638
108,9,1,2298
108,10,1,1497
108,11,1,846
108,12,1,830
108,13,1,779
108,14,1,926
108,15,1,824
109,0,0,3884
109,1,1,1964
109,2,1,1309
109,3,1,2282
109,4,0,1800
109,5,1,1820
109,6,1,1314
109,7,1,1723
109,8,1,1094
109,9,1,899
109,10,1,713
109,11,1,771
109,12,1,1252
109,13,1,1024
109,14,1,1183
109,15,1,1505
110,0,0,4192
110,1,0,2329
110,2,0,12670
110,3,1,5197
110,4,1,7811
110,5,0,8630
110,6,1,8656
110,7,1,3711
110,8,1,6393
110,9,1,3510
110,10,1,2824
110,11,1,2997
110,12,1,14773
110,13,1,2781
110,14,1,2774
110,15,1,18288
111,0,1,5432
111,1,0,1914
111,2,1,1533
111,3,1,1815
111,4,1,1797
111,5,1,1315
111,6,1,1215
111,7,1,1382
111,8,1,1317
111,9,1,2332
111,10,1,765
111,11,1,1198
111,12,1,764
111,13,0,1480
111,14,1,1299
111,15,1,898
112,0,0,6838
112,1,0,4035
112,2,1,2428
112,3,1,3771
112,4,0,2024
112,5,1,2631
112,6,1,1573
112,7,1,2804
112,8,1,2079
112,9,1,2203
112,10,1,1743
112,11,0,1304
112,12,0,1101
112,13,1,1011
112,14,0,2260
112,15,1,1011
113,0,1,10430
113,1,0,4599
113,2,1,2373
113,3,1,3186
113,4,0,2452
113,5,1,1884
113,6,1,2835
113,7,0,1668
113,8,1,1719
113,9,1,1516
113,10,0,2400
113,11,1,1870
113,12,0,2186
113,13,0,2338
113,14,1,1175
113,15,0,1945
114,0,1,4341
114,1,1,2421
114,2,1,3679
114,3,0,1480
114,4,0,3979
114,5,1,3207
114,6,1,2087
114,7,0,2109
114,8,1,3918
114,9,1,1554
114,10,1,1236
114,11,1,3174
114,12,1,3413
114,13,0,2282
114,14,0,2480
114,15,0,1799
115,0,1,9068
115,1,1,3847
115,2,0,4022
115,3,1,3127
115,4,0,3138
115,5,1,2518
115,6,0,3012
115,7,0,1365
115,8,1,1350
115,9,1,2335
115,10,1,1773
115,11,1,2781
115,12,1,1486
115,13,1,1385
115,14,0,1474
115,15,1,2102
116,0,0,4251
116,1,0,1786
116,2,1,1805
116,3,1,3043
116,4,1,2924
116,5,1,1283
116,6,1,1439
116,7,1,961
116,8,1,994
116,9,1,946
116,10,1,1050
116,11,1,782
116,12,1,1049
116,13,1,1411
116,14,1,790
116,15,1,675
117,0,1,10631
117,1,0,184
117,2,1,2828
117,3,1,971
117,4,1,3583
117,5,1,1724
117,6,1,1584
117,7,0,110
117,8,1,3974
117,9,1,1316
117,10,1,1344
117,11,1,2973
117,12,1,1179
117,13,1,1601
117,14,1,1132
117,15,1,1089
118,0,0,3674
118,1,0,1996
118,2,0,3172
118,3,0,3324
118,4,1,2758
118,5,1,2625
118,6,1,1966
118,7,1,2084
118,8,1,1691
118,9,1,2651
118,10,1,1760
118,11,1,2181
118,12,1,2645
118,13,0,2653
118,14,1,2222
118,15,1,2404
119,0,0,4566
119,1,0,5966
119,2,0,2776
119,3,1,5960
119,4,1,5032
119,5,0,3848
119,6,0,1702
119,7,0,5862
119,8,1,1190
119,9,0,3047
119,10,0,3312
119,11,0,3775
119,12,1,1174
119,13,1,8967
119,14,1,2608
119,15,0,2337
NA,0,0,6527
NA,1,1,1490
NA,2,1,720
NA,3,1,3923
NA,4,0,5913
NA,5,0,1578
NA,6,0,3615
NA,7,0,923
NA,8,1,3505
NA,9,0,2751
NA,10,1,1072
NA,11,0,3050
NA,12,1,3000
NA,13,0,3477
NA,14,1,4676
NA,15,1,2621
